Destination_3Zip,freight_terms,3zip_des_total_revenue,3zip_des_ordvrs_cnt,3zip_des_cases_received,"3zip_des_cases_received (col,pp)",total_dc_sqft,totalQty_allDCs,Lane_Share%,Lane_Space,Default Warehouse,Costing Warehouse,3zip_Inbound Spend,3zip_Distribution Spend,3zip_parcel_shipment,3zip_parcel_weight,3zip_avg_weight/parcel,zon_us&can_combnd,servicedays_us&can_combnd,3zip_Parcel Spend,LTL_Shipment_Count,LTL_Weight,LTL_Cost,Mean Weight / LTL Shipment,Cost Per CWT,3zip_LTL_Spend,TL_Shipment_Count,TL_Weight,TL_Cost,avg_tl_rate,3zip_tl_spend,3zip_scenario cost,Cost rank dc,cheapest cost to serve,cheapest to serve from, Baseline Cost to Serve,Baseline Rate Zone,Relative Additional Cost,avg_delivery_days,avg_transit_days
N7X,Prepaid,0,1,1,1,195000,1384458,7.223043241470669E-7,0.14084934320867804,Brampton,Brampton,2.94606448773244,3.556063818539423,1,18,18,1,1,8.619999999999916,0,0,0,0,79.2488207079882,0,0,0,0,,0,15.122128306271778,1,15.122128306271778,Brampton,15.122128306271778,1,0,2.176595617739568,2.066209038409731
N7X,Prepaid,0,1,1,1,195000,1384458,7.223043241470669E-7,0.14084934320867804,Brampton,Richmond,1.7206286220915146,4.791930297807529,1,18,18,1,1,8.619999999999916,0,0,0,0,145.53728217784766,0,0,0,0,,0,15.132558919898959,2,,,,,,0,1.8619793947198973
N8A,Prepaid,1393.0447542000002,26,26,26,195000,1384458,0.00001877991242782374,3.662082923425629,Brampton,Brampton,76.59767668104344,92.457659282024998,26,238.94700000000003,9,1,1,222.55999999999852,0,0,0,0,79.2488207079882,0,0,0,0,,0,391.615335963066947,1,391.615335963066947,Brampton,391.615335963066947,1,0,2.176595617739568,2.066209038409731
N8A,Prepaid,1393.0447542000002,26,26,26,195000,1384458,0.00001877991242782374,3.662082923425629,Brampton,Richmond,44.736344174379376,124.590187742995754,26,238.94700000000003,9,1,1,222.55999999999852,0,0,0,0,145.53728217784766,0,0,0,0,,0,391.886531917373661,2,,,,,,0,1.8619793947198973
N8H,Prepaid,1743.0018268000001,30,30,30,195000,1384458,0.000021669129724412007,4.225480296260342,Brampton,Brampton,88.3819346319732,106.68191455618269,30,257.995,9,1,1,256.7999999999983,0,0,0,0,79.2488207079882,0,0,0,0,,0,451.863849188154191,1,451.863849188154191,Brampton,451.863849188154191,1,0,2.176595617739568,2.066209038409731
N8H,Prepaid,1743.0018268000001,30,30,30,195000,1384458,0.000021669129724412007,4.225480296260342,Brampton,Richmond,51.61885866274544,143.75790893422587,30,257.995,9,1,1,256.7999999999983,0,0,0,0,145.53728217784766,0,0,0,0,,0,452.1767675969696,2,,,,,,0,1.8619793947198973
N8L,Prepaid,2464.5070760999997,28,28,28,195000,1384458,0.000020224521076117874,3.9437816098429854,Brampton,Brampton,82.48980565650832,99.569786919103844,28,320.4999999999999,11,1,1,239.68000000000416,0,0,0,0,79.2488207079882,0,0,0,0,,0,421.739592575616338,1,421.739592575616338,Brampton,421.739592575616338,1,0,2.176595617739568,2.066209038409731
N8L,Prepaid,2464.5070760999997,28,28,28,195000,1384458,0.000020224521076117874,3.9437816098429854,Brampton,Richmond,48.17760141856241,134.174048338610812,28,320.4999999999999,11,1,1,239.68000000000416,0,0,0,0,145.53728217784766,0,0,0,0,,0,422.031649757177372,2,,,,,,0,1.8619793947198973
N8M,Prepaid,913.5101703999999,15,15,15,195000,1384458,0.000010834564862206004,2.112740148130171,Brampton,Brampton,44.1909673159866,53.340957278091345,15,171.49,11,1,1,128.40000000000222,0,0,0,0,79.2488207079882,0,0,0,0,,0,225.931924594080165,1,225.931924594080165,Brampton,225.931924594080165,1,0,2.176595617739568,2.066209038409731
N8M,Prepaid,913.5101703999999,15,15,15,195000,1384458,0.000010834564862206004,2.112740148130171,Brampton,Richmond,25.80942933137272,71.878954467112935,15,171.49,11,1,1,128.40000000000222,0,0,0,0,145.53728217784766,0,0,0,0,,0,226.08838379848787,2,,,,,,0,1.8619793947198973
